prompt_pretty,language,rag_mode,rag_k,precision,recall,f1,macro_f1,tp,fp,fn,n_records,parse_errors,avg_input_tokens,avg_output_tokens,elapsed_sec
P1 Zero-shot,python,,,0.9262,0.8692,0.8968,0.8623,113,9,17,7,0,3660.3,1264.7,154.5
P1 Zero-shot,java,,,0.9167,0.8661,0.8907,0.8534,110,10,17,7,0,3695.9,1229.4,153.0
P1 Zero-shot,javascript,,,0.9167,0.8661,0.8907,0.8534,110,10,17,7,0,3695.9,1229.4,153.0
P1 Zero-shot,cpp,,,0.487,0.8,0.6054,0.6737,56,59,14,13,0,3196.6,691.9,162.3
P2 Few-shot,python,,,0.9771,0.9846,0.9808,0.9788,128,3,2,7,0,7199.3,1498.6,191.8
P2 Few-shot,java,,,0.967,0.6929,0.8073,0.7956,88,3,39,7,0,9365.9,906.4,118.7
P2 Few-shot,javascript,,,0.967,0.6929,0.8073,0.7956,88,3,39,7,0,9365.9,906.4,118.7
P2 Few-shot,cpp,,,0.6559,0.8714,0.7485,0.7653,61,32,9,13,0,5540.6,531.0,130.9
P3 Taxonomy-tree,python,,,0.8716,0.7308,0.795,0.7326,95,14,35,7,0,4844.3,1153.6,147.5
P3 Taxonomy-tree,java,,,0.8704,0.7402,0.8,0.7747,94,14,33,7,0,4879.9,1105.3,142.4
P3 Taxonomy-tree,javascript,,,0.8704,0.7402,0.8,0.7747,94,14,33,7,0,4879.9,1105.3,142.4
P3 Taxonomy-tree,cpp,,,0.4286,0.7286,0.5397,0.5998,51,68,19,13,0,4380.6,703.0,169.6
P4 Self-verify,python,,,0.2222,0.0154,0.0288,0.0173,2,7,128,7,5,2091.9,1490.9,1368.2
P4 Self-verify,java,,,0.6957,0.126,0.2133,0.1533,16,7,111,7,4,2098.1,1405.6,1336.8
P4 Self-verify,javascript,,,0.6957,0.126,0.2133,0.1533,16,7,111,7,4,2098.1,1405.6,1336.8
P4 Self-verify,cpp,,,0.358,0.4143,0.3841,0.3714,29,52,41,13,1,3222.4,2423.8,1007.8
P5 RAG dense (k=3),python,dense,3.0,0.9358,0.7846,0.8536,0.781,102,7,28,7,0,8247.3,1088.3,147.7
P5 RAG dense (k=3),java,dense,3.0,0.9292,0.8268,0.875,0.847,105,8,22,7,0,10360.6,1142.0,158.3
P5 RAG dense (k=3),javascript,dense,3.0,0.9292,0.8268,0.875,0.847,105,8,22,7,0,10360.6,1142.0,158.3
P5 RAG dense (k=3),cpp,dense,3.0,0.6667,0.8571,0.75,0.7662,60,30,10,13,0,6988.9,507.2,135.9
"P5 RAG random (k=2, ablation)",python,random,2.0,0.936,0.9,0.9176,0.8793,117,8,13,7,0,6923.0,1257.0,155.1
"P5 RAG random (k=2, ablation)",java,random,2.0,0.9402,0.8661,0.9016,0.8609,110,7,17,7,0,8939.1,1175.4,156.3
"P5 RAG random (k=2, ablation)",javascript,random,2.0,0.9402,0.8661,0.9016,0.8609,110,7,17,7,0,8939.1,1175.4,156.3
"P5 RAG random (k=2, ablation)",cpp,random,2.0,0.6207,0.7714,0.6879,0.7036,54,33,16,13,0,6285.0,499.5,127.3
