prompt_pretty,language,rag_mode,rag_k,precision,recall,f1,macro_f1,tp,fp,fn,n_records,parse_errors,avg_input_tokens,avg_output_tokens,elapsed_sec
P1 Zero-shot,python,,,0.8496,0.7385,0.7901,0.7814,96,17,34,7,0,4083.6,1455.4,150.0
P1 Zero-shot,java,,,0.9008,0.8583,0.879,0.8365,109,12,18,7,0,4114.6,1488.9,150.7
P1 Zero-shot,javascript,,,0.9008,0.8583,0.879,0.8365,109,12,18,7,0,4114.6,1488.9,150.7
P1 Zero-shot,cpp,,,0.3382,0.6571,0.4466,0.4742,46,90,24,13,0,3442.9,925.2,180.7
P2 Few-shot,python,,,1.0,0.9385,0.9683,0.9735,122,0,8,7,0,8334.6,1489.3,170.2
P2 Few-shot,java,,,0.9697,0.7559,0.8496,0.8903,96,3,31,7,0,10953.6,1190.9,136.9
P2 Few-shot,javascript,,,0.9697,0.7559,0.8496,0.8903,96,3,31,7,0,10953.6,1190.9,136.9
P2 Few-shot,cpp,,,0.7582,0.9857,0.8571,0.8476,69,22,1,13,0,6170.9,611.9,136.7
P3 Taxonomy-tree,python,,,0.8889,0.6769,0.7686,0.7419,88,11,42,7,0,5325.6,1272.7,141.7
P3 Taxonomy-tree,java,,,0.8783,0.7953,0.8347,0.7989,101,14,26,7,0,5356.6,1500.3,169.6
P3 Taxonomy-tree,javascript,,,0.8783,0.7953,0.8347,0.7989,101,14,26,7,0,5356.6,1500.3,169.6
P3 Taxonomy-tree,cpp,,,0.439,0.7714,0.5596,0.6088,54,69,16,13,0,4684.9,846.3,173.9
P4 Self-verify,python,,,0.8085,0.5846,0.6786,0.7062,76,18,54,7,0,4442.6,2491.6,369.1
P4 Self-verify,java,,,0.6081,0.3543,0.4478,0.462,45,29,82,7,1,3777.0,1939.1,501.7
P4 Self-verify,javascript,,,0.6081,0.3543,0.4478,0.462,45,29,82,7,1,3777.0,1939.1,501.7
P4 Self-verify,cpp,,,0.4,0.5143,0.45,0.4435,36,54,34,13,0,3801.9,1605.5,303.7
P5 RAG dense (k=3),python,dense,3.0,0.9725,0.8154,0.887,0.8273,106,3,24,7,0,9669.0,1351.0,162.9
P5 RAG dense (k=3),java,dense,3.0,0.9868,0.5906,0.7389,0.7463,75,1,52,7,0,12214.0,922.3,112.8
P5 RAG dense (k=3),javascript,dense,3.0,0.9868,0.5906,0.7389,0.7463,75,1,52,7,0,12214.0,922.3,112.8
P5 RAG dense (k=3),cpp,dense,3.0,0.8118,0.9857,0.8903,0.8886,69,16,1,13,0,7838.8,570.5,131.7
"P5 RAG random (k=2, ablation)",python,random,2.0,0.9626,0.7923,0.8692,0.8138,103,4,27,7,0,8014.1,1310.0,148.8
"P5 RAG random (k=2, ablation)",java,random,2.0,0.9494,0.5906,0.7282,0.7019,75,4,52,7,0,10390.3,951.6,109.7
"P5 RAG random (k=2, ablation)",javascript,random,2.0,0.9494,0.5906,0.7282,0.7019,75,4,52,7,0,10390.3,951.6,109.7
"P5 RAG random (k=2, ablation)",cpp,random,2.0,0.7424,0.7,0.7206,0.7027,49,17,21,13,1,6767.2,590.8,127.4
