prompt_pretty,language,rag_mode,rag_k,precision,recall,f1,macro_f1,tp,fp,fn,n_records,parse_errors,avg_input_tokens,avg_output_tokens,elapsed_sec
P1 Zero-shot,python,,,0.8909,0.7538,0.8167,0.8224,98,12,32,7,0,3935.9,1185.4,134.5
P1 Zero-shot,java,,,0.835,0.6772,0.7478,0.81,86,17,41,7,0,4037.3,1125.6,120.4
P1 Zero-shot,javascript,,,0.835,0.6772,0.7478,0.81,86,17,41,7,0,4037.3,1125.6,120.4
P1 Zero-shot,cpp,,,0.4155,0.8429,0.5566,0.6955,59,83,11,13,0,3411.6,844.5,159.7
P2 Few-shot,python,,,0.9847,0.9923,0.9885,0.9861,129,2,1,7,0,7968.9,1432.1,140.9
P2 Few-shot,java,,,0.9844,0.9921,0.9882,0.9854,126,2,1,7,0,10707.3,1375.9,150.6
P2 Few-shot,javascript,,,0.9844,0.9921,0.9882,0.9854,126,2,1,7,0,10707.3,1375.9,150.6
P2 Few-shot,cpp,,,0.7867,0.8429,0.8138,0.8036,59,16,11,13,0,6162.6,434.5,85.8
P3 Taxonomy-tree,python,,,0.6829,0.6462,0.664,0.65,84,39,46,7,0,5138.9,1329.3,136.9
P3 Taxonomy-tree,java,,,0.6077,0.622,0.6148,0.5702,79,51,48,7,0,5240.3,1398.4,131.9
P3 Taxonomy-tree,javascript,,,0.6077,0.622,0.6148,0.5702,79,51,48,7,0,5240.3,1398.4,131.9
P3 Taxonomy-tree,cpp,,,0.3724,0.7714,0.5023,0.6473,54,91,16,13,0,4614.6,852.8,166.2
P4 Self-verify,python,,,0.8602,0.6154,0.7175,0.7403,80,13,50,7,0,4273.9,1946.3,252.8
P4 Self-verify,java,,,0.6447,0.3858,0.4828,0.4882,49,27,78,7,1,4375.3,2246.4,360.7
P4 Self-verify,javascript,,,0.6447,0.3858,0.4828,0.4882,49,27,78,7,1,4375.3,2246.4,360.7
P4 Self-verify,cpp,,,0.446,0.8857,0.5933,0.706,62,77,8,13,0,3749.6,1725.6,344.4
P5 RAG dense (k=3),python,dense,3.0,0.9773,0.9923,0.9847,0.9437,129,3,1,7,0,9224.1,1425.6,158.3
P5 RAG dense (k=3),java,dense,3.0,0.9841,0.9764,0.9802,0.9632,124,2,3,7,0,11940.9,1336.0,158.1
P5 RAG dense (k=3),javascript,dense,3.0,0.9841,0.9764,0.9802,0.9632,124,2,3,7,0,11940.9,1336.0,158.1
P5 RAG dense (k=3),cpp,dense,3.0,0.8481,0.9571,0.8993,0.8926,67,12,3,13,0,7848.8,460.5,109.8
"P5 RAG random (k=2, ablation)",python,random,2.0,0.9769,0.9769,0.9769,0.9331,127,3,3,7,0,7636.7,1366.3,137.7
"P5 RAG random (k=2, ablation)",java,random,2.0,0.9841,0.9764,0.9802,0.9632,124,2,3,7,0,10161.3,1337.3,151.0
"P5 RAG random (k=2, ablation)",javascript,random,2.0,0.9841,0.9764,0.9802,0.9632,124,2,3,7,0,10161.3,1337.3,151.0
"P5 RAG random (k=2, ablation)",cpp,random,2.0,0.6944,0.7143,0.7042,0.6856,50,22,20,13,0,6446.2,429.5,94.5
