model,prompt,P,R,micro F1,macro F1
DeepSeek v3.2,p1_zero_shot,0.7759,0.7692,0.7725,0.7774
DeepSeek v3.2,p2_few_shot,0.9005,0.812,0.8539,0.848
DeepSeek v3.2,p3_taxonomy_tree,0.7406,0.7137,0.7269,0.6991
DeepSeek v3.2,p4_self_verify,0.4631,0.1474,0.2237,0.2076
DeepSeek v3.2,p5_rag_dense,0.878,0.7692,0.82,0.7844
DeepSeek v3.2,p5_rag_random,0.8818,0.797,0.8373,0.8018
Gemma 3 27B-IT,p1_zero_shot,0.7117,0.7436,0.7273,0.7266
Gemma 3 27B-IT,p2_few_shot,0.9363,0.8162,0.8721,0.8848
Gemma 3 27B-IT,p3_taxonomy_tree,0.7391,0.6902,0.7138,0.7148
Gemma 3 27B-IT,p4_self_verify,0.6351,0.4872,0.5514,0.5693
Gemma 3 27B-IT,p5_rag_dense,0.9367,0.6645,0.7775,0.7736
Gemma 3 27B-IT,p5_rag_random,0.9212,0.6496,0.7619,0.7457
Mistral Devstral 2 123B,p1_zero_shot,0.6955,0.688,0.6917,0.7703
Mistral Devstral 2 123B,p2_few_shot,0.9525,0.9423,0.9474,0.927
Mistral Devstral 2 123B,p3_taxonomy_tree,0.5472,0.656,0.5967,0.6522
Mistral Devstral 2 123B,p4_self_verify,0.6649,0.5513,0.6028,0.6706
Mistral Devstral 2 123B,p5_rag_dense,0.9617,0.9658,0.9638,0.9432
Mistral Devstral 2 123B,p5_rag_random,0.9394,0.9274,0.9333,0.8756
