comparison,model,ΔF1,CI 2.5%,CI 97.5%,sig
P2 few-shot vs P1,DeepSeek v3.2,0.081,0.003,0.176,✅
P3 tax-tree vs P1,DeepSeek v3.2,-0.046,-0.104,0.018,ns
P4 self-verify vs P1,DeepSeek v3.2,-0.549,-0.682,-0.392,✅
P5 RAG dense (k=3) vs P1,DeepSeek v3.2,0.048,-0.009,0.111,ns
P5 RAG random (k=2) vs P1,DeepSeek v3.2,0.065,0.004,0.136,✅
P2 few-shot vs P1,Gemma 3 27B-IT,0.145,0.054,0.255,✅
P3 tax-tree vs P1,Gemma 3 27B-IT,-0.013,-0.082,0.069,ns
P4 self-verify vs P1,Gemma 3 27B-IT,-0.176,-0.275,-0.077,✅
P5 RAG dense (k=3) vs P1,Gemma 3 27B-IT,0.05,-0.047,0.158,ns
P5 RAG random (k=2) vs P1,Gemma 3 27B-IT,0.035,-0.08,0.162,ns
P2 few-shot vs P1,Mistral Devstral 2 123B,0.256,0.184,0.336,✅
P3 tax-tree vs P1,Mistral Devstral 2 123B,-0.095,-0.166,-0.018,✅
P4 self-verify vs P1,Mistral Devstral 2 123B,-0.089,-0.218,0.019,ns
P5 RAG dense (k=3) vs P1,Mistral Devstral 2 123B,0.272,0.191,0.365,✅
P5 RAG random (k=2) vs P1,Mistral Devstral 2 123B,0.242,0.154,0.337,✅
